category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap0,home,aria-allowed-role,1,15,16,0.0625
hubmap,hubmap0,home,aria-required-children,2,0,2,1
hubmap,hubmap0,home,heading-order,3,18,21,0.14285714285714285
hubmap,hubmap0,home,html-has-lang,1,0,1,1
hubmap,hubmap0,home,landmark-one-main,1,0,1,1
hubmap,hubmap0,home,link-name,67,57,124,0.5403225806451613
hubmap,hubmap0,home,nested-interactive,3,27,30,0.1
hubmap,hubmap0,home,region,65,821,886,0.07336343115124154
hubmap,hubmap0,home,aria-allowed-attr,0,21,21,0
hubmap,hubmap0,home,aria-conditional-attr,0,21,21,0
hubmap,hubmap0,home,aria-deprecated-role,0,16,16,0
hubmap,hubmap0,home,aria-hidden-body,0,1,1,0
hubmap,hubmap0,home,aria-hidden-focus,0,47,47,0
hubmap,hubmap0,home,aria-prohibited-attr,0,21,21,0
hubmap,hubmap0,home,aria-required-attr,0,16,16,0
hubmap,hubmap0,home,aria-required-parent,0,4,4,0
hubmap,hubmap0,home,aria-roles,0,16,16,0
hubmap,hubmap0,home,aria-valid-attr-value,0,21,21,0
hubmap,hubmap0,home,aria-valid-attr,0,21,21,0
hubmap,hubmap0,home,avoid-inline-spacing,0,102,102,0
hubmap,hubmap0,home,button-name,0,5,5,0
hubmap,hubmap0,home,bypass,0,1,1,0
hubmap,hubmap0,home,color-contrast,0,120,120,0
hubmap,hubmap0,home,document-title,0,1,1,0
hubmap,hubmap0,home,duplicate-id-aria,0,8,8,0
hubmap,hubmap0,home,empty-heading,0,21,21,0
hubmap,hubmap0,home,image-alt,0,15,15,0
hubmap,hubmap0,home,image-redundant-alt,0,15,15,0
hubmap,hubmap0,home,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap0,home,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap0,home,landmark-unique,0,2,2,0
hubmap,hubmap0,home,link-in-text-block,0,10,10,0
hubmap,hubmap0,home,list,0,1,1,0
hubmap,hubmap0,home,listitem,0,5,5,0
hubmap,hubmap0,home,meta-viewport-large,0,1,1,0
hubmap,hubmap0,home,meta-viewport,0,1,1,0
hubmap,hubmap0,home,page-has-heading-one,0,1,1,0
hubmap,hubmap0,home,role-img-alt,0,6,6,0
hubmap,hubmap0,home,scrollable-region-focusable,0,1,1,0
hubmap,hubmap0,home,tabindex,0,14,14,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap10,dataset,button-name,1,9,10,0.1
hubmap,hubmap10,dataset,heading-order,3,25,28,0.10714285714285714
hubmap,hubmap10,dataset,html-has-lang,1,0,1,1
hubmap,hubmap10,dataset,landmark-one-main,1,0,1,1
hubmap,hubmap10,dataset,region,56,476,532,0.10526315789473684
hubmap,hubmap10,dataset,scrollable-region-focusable,1,0,1,1
hubmap,hubmap10,dataset,aria-allowed-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-allowed-role,0,7,7,0
hubmap,hubmap10,dataset,aria-conditional-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-deprecated-role,0,5,5,0
hubmap,hubmap10,dataset,aria-hidden-body,0,1,1,0
hubmap,hubmap10,dataset,aria-hidden-focus,0,104,104,0
hubmap,hubmap10,dataset,aria-prohibited-attr,0,12,12,0
hubmap,hubmap10,dataset,aria-required-attr,0,5,5,0
hubmap,hubmap10,dataset,aria-required-children,0,1,1,0
hubmap,hubmap10,dataset,aria-required-parent,0,3,3,0
hubmap,hubmap10,dataset,aria-roles,0,5,5,0
hubmap,hubmap10,dataset,aria-valid-attr-value,0,12,12,0
hubmap,hubmap10,dataset,aria-valid-attr,0,12,12,0
hubmap,hubmap10,dataset,avoid-inline-spacing,0,4,4,0
hubmap,hubmap10,dataset,bypass,0,1,1,0
hubmap,hubmap10,dataset,color-contrast,0,119,119,0
hubmap,hubmap10,dataset,document-title,0,1,1,0
hubmap,hubmap10,dataset,duplicate-id-aria,0,6,6,0
hubmap,hubmap10,dataset,empty-heading,0,28,28,0
hubmap,hubmap10,dataset,empty-table-header,0,5,5,0
hubmap,hubmap10,dataset,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap10,dataset,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap10,dataset,landmark-unique,0,2,2,0
hubmap,hubmap10,dataset,link-in-text-block,0,3,3,0
hubmap,hubmap10,dataset,link-name,0,42,42,0
hubmap,hubmap10,dataset,list,0,1,1,0
hubmap,hubmap10,dataset,listitem,0,6,6,0
hubmap,hubmap10,dataset,meta-viewport-large,0,1,1,0
hubmap,hubmap10,dataset,meta-viewport,0,1,1,0
hubmap,hubmap10,dataset,nested-interactive,0,29,29,0
hubmap,hubmap10,dataset,page-has-heading-one,0,1,1,0
hubmap,hubmap10,dataset,scope-attr-valid,0,5,5,0
hubmap,hubmap10,dataset,tabindex,0,12,12,0
hubmap,hubmap10,dataset,table-duplicate-name,0,2,2,0
hubmap,hubmap10,dataset,td-headers-attr,0,2,2,0
hubmap,hubmap10,dataset,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap11,donor,button-name,1,9,10,0.1
hubmap,hubmap11,donor,heading-order,2,19,21,0.09523809523809523
hubmap,hubmap11,donor,html-has-lang,1,0,1,1
hubmap,hubmap11,donor,landmark-one-main,1,0,1,1
hubmap,hubmap11,donor,region,38,479,517,0.0735009671179884
hubmap,hubmap11,donor,scrollable-region-focusable,1,1,2,0.5
hubmap,hubmap11,donor,aria-allowed-attr,0,15,15,0
hubmap,hubmap11,donor,aria-allowed-role,0,10,10,0
hubmap,hubmap11,donor,aria-conditional-attr,0,15,15,0
hubmap,hubmap11,donor,aria-deprecated-role,0,9,9,0
hubmap,hubmap11,donor,aria-hidden-body,0,1,1,0
hubmap,hubmap11,donor,aria-hidden-focus,0,41,41,0
hubmap,hubmap11,donor,aria-prohibited-attr,0,15,15,0
hubmap,hubmap11,donor,aria-required-attr,0,9,9,0
hubmap,hubmap11,donor,aria-required-children,0,2,2,0
hubmap,hubmap11,donor,aria-required-parent,0,4,4,0
hubmap,hubmap11,donor,aria-roles,0,9,9,0
hubmap,hubmap11,donor,aria-valid-attr-value,0,15,15,0
hubmap,hubmap11,donor,aria-valid-attr,0,15,15,0
hubmap,hubmap11,donor,avoid-inline-spacing,0,6,6,0
hubmap,hubmap11,donor,bypass,0,1,1,0
hubmap,hubmap11,donor,color-contrast,0,88,88,0
hubmap,hubmap11,donor,document-title,0,1,1,0
hubmap,hubmap11,donor,empty-heading,0,21,21,0
hubmap,hubmap11,donor,empty-table-header,0,7,7,0
hubmap,hubmap11,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap11,donor,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap11,donor,landmark-unique,0,2,2,0
hubmap,hubmap11,donor,link-name,0,61,61,0
hubmap,hubmap11,donor,list,0,1,1,0
hubmap,hubmap11,donor,listitem,0,6,6,0
hubmap,hubmap11,donor,meta-viewport-large,0,1,1,0
hubmap,hubmap11,donor,meta-viewport,0,1,1,0
hubmap,hubmap11,donor,nested-interactive,0,18,18,0
hubmap,hubmap11,donor,page-has-heading-one,0,1,1,0
hubmap,hubmap11,donor,scope-attr-valid,0,7,7,0
hubmap,hubmap11,donor,tabindex,0,12,12,0
hubmap,hubmap11,donor,table-duplicate-name,0,2,2,0
hubmap,hubmap11,donor,td-headers-attr,0,2,2,0
hubmap,hubmap11,donor,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap12,donor,button-name,1,9,10,0.1
hubmap,hubmap12,donor,heading-order,2,21,23,0.08695652173913043
hubmap,hubmap12,donor,html-has-lang,1,0,1,1
hubmap,hubmap12,donor,landmark-one-main,1,0,1,1
hubmap,hubmap12,donor,region,40,260,300,0.13333333333333333
hubmap,hubmap12,donor,scrollable-region-focusable,1,0,1,1
hubmap,hubmap12,donor,aria-allowed-attr,0,15,15,0
hubmap,hubmap12,donor,aria-allowed-role,0,10,10,0
hubmap,hubmap12,donor,aria-conditional-attr,0,15,15,0
hubmap,hubmap12,donor,aria-deprecated-role,0,9,9,0
hubmap,hubmap12,donor,aria-hidden-body,0,1,1,0
hubmap,hubmap12,donor,aria-hidden-focus,0,39,39,0
hubmap,hubmap12,donor,aria-prohibited-attr,0,15,15,0
hubmap,hubmap12,donor,aria-required-attr,0,9,9,0
hubmap,hubmap12,donor,aria-required-children,0,2,2,0
hubmap,hubmap12,donor,aria-required-parent,0,4,4,0
hubmap,hubmap12,donor,aria-roles,0,9,9,0
hubmap,hubmap12,donor,aria-valid-attr-value,0,15,15,0
hubmap,hubmap12,donor,aria-valid-attr,0,15,15,0
hubmap,hubmap12,donor,avoid-inline-spacing,0,6,6,0
hubmap,hubmap12,donor,bypass,0,1,1,0
hubmap,hubmap12,donor,color-contrast,0,88,88,0
hubmap,hubmap12,donor,document-title,0,1,1,0
hubmap,hubmap12,donor,empty-heading,0,23,23,0
hubmap,hubmap12,donor,empty-table-header,0,7,7,0
hubmap,hubmap12,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap12,donor,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap12,donor,landmark-unique,0,2,2,0
hubmap,hubmap12,donor,link-name,0,32,32,0
hubmap,hubmap12,donor,list,0,1,1,0
hubmap,hubmap12,donor,listitem,0,6,6,0
hubmap,hubmap12,donor,meta-viewport-large,0,1,1,0
hubmap,hubmap12,donor,meta-viewport,0,1,1,0
hubmap,hubmap12,donor,nested-interactive,0,18,18,0
hubmap,hubmap12,donor,page-has-heading-one,0,1,1,0
hubmap,hubmap12,donor,scope-attr-valid,0,7,7,0
hubmap,hubmap12,donor,tabindex,0,12,12,0
hubmap,hubmap12,donor,table-duplicate-name,0,2,2,0
hubmap,hubmap12,donor,td-headers-attr,0,2,2,0
hubmap,hubmap12,donor,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap13,donor,button-name,1,9,10,0.1
hubmap,hubmap13,donor,heading-order,2,20,22,0.09090909090909091
hubmap,hubmap13,donor,html-has-lang,1,0,1,1
hubmap,hubmap13,donor,landmark-one-main,1,0,1,1
hubmap,hubmap13,donor,region,38,419,457,0.08315098468271334
hubmap,hubmap13,donor,scrollable-region-focusable,1,1,2,0.5
hubmap,hubmap13,donor,aria-allowed-attr,0,15,15,0
hubmap,hubmap13,donor,aria-allowed-role,0,10,10,0
hubmap,hubmap13,donor,aria-conditional-attr,0,15,15,0
hubmap,hubmap13,donor,aria-deprecated-role,0,9,9,0
hubmap,hubmap13,donor,aria-hidden-body,0,1,1,0
hubmap,hubmap13,donor,aria-hidden-focus,0,39,39,0
hubmap,hubmap13,donor,aria-prohibited-attr,0,15,15,0
hubmap,hubmap13,donor,aria-required-attr,0,9,9,0
hubmap,hubmap13,donor,aria-required-children,0,2,2,0
hubmap,hubmap13,donor,aria-required-parent,0,4,4,0
hubmap,hubmap13,donor,aria-roles,0,9,9,0
hubmap,hubmap13,donor,aria-valid-attr-value,0,15,15,0
hubmap,hubmap13,donor,aria-valid-attr,0,15,15,0
hubmap,hubmap13,donor,avoid-inline-spacing,0,6,6,0
hubmap,hubmap13,donor,bypass,0,1,1,0
hubmap,hubmap13,donor,color-contrast,0,90,90,0
hubmap,hubmap13,donor,document-title,0,1,1,0
hubmap,hubmap13,donor,empty-heading,0,22,22,0
hubmap,hubmap13,donor,empty-table-header,0,7,7,0
hubmap,hubmap13,donor,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap13,donor,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap13,donor,landmark-unique,0,2,2,0
hubmap,hubmap13,donor,link-name,0,53,53,0
hubmap,hubmap13,donor,list,0,1,1,0
hubmap,hubmap13,donor,listitem,0,6,6,0
hubmap,hubmap13,donor,meta-viewport-large,0,1,1,0
hubmap,hubmap13,donor,meta-viewport,0,1,1,0
hubmap,hubmap13,donor,nested-interactive,0,18,18,0
hubmap,hubmap13,donor,page-has-heading-one,0,1,1,0
hubmap,hubmap13,donor,scope-attr-valid,0,7,7,0
hubmap,hubmap13,donor,tabindex,0,12,12,0
hubmap,hubmap13,donor,table-duplicate-name,0,2,2,0
hubmap,hubmap13,donor,td-headers-attr,0,2,2,0
hubmap,hubmap13,donor,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap14,organs,heading-order,2,35,37,0.05405405405405406
hubmap,hubmap14,organs,html-has-lang,1,0,1,1
hubmap,hubmap14,organs,landmark-one-main,1,0,1,1
hubmap,hubmap14,organs,region,78,322,400,0.195
hubmap,hubmap14,organs,aria-allowed-attr,0,36,36,0
hubmap,hubmap14,organs,aria-allowed-role,0,31,31,0
hubmap,hubmap14,organs,aria-conditional-attr,0,36,36,0
hubmap,hubmap14,organs,aria-deprecated-role,0,31,31,0
hubmap,hubmap14,organs,aria-hidden-body,0,1,1,0
hubmap,hubmap14,organs,aria-hidden-focus,0,39,39,0
hubmap,hubmap14,organs,aria-prohibited-attr,0,36,36,0
hubmap,hubmap14,organs,aria-required-attr,0,31,31,0
hubmap,hubmap14,organs,aria-roles,0,31,31,0
hubmap,hubmap14,organs,aria-valid-attr-value,0,36,36,0
hubmap,hubmap14,organs,aria-valid-attr,0,36,36,0
hubmap,hubmap14,organs,avoid-inline-spacing,0,1,1,0
hubmap,hubmap14,organs,button-name,0,4,4,0
hubmap,hubmap14,organs,bypass,0,1,1,0
hubmap,hubmap14,organs,color-contrast,0,112,112,0
hubmap,hubmap14,organs,document-title,0,1,1,0
hubmap,hubmap14,organs,empty-heading,0,37,37,0
hubmap,hubmap14,organs,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap14,organs,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap14,organs,landmark-unique,0,1,1,0
hubmap,hubmap14,organs,link-name,0,45,45,0
hubmap,hubmap14,organs,meta-viewport-large,0,1,1,0
hubmap,hubmap14,organs,meta-viewport,0,1,1,0
hubmap,hubmap14,organs,nested-interactive,0,66,66,0
hubmap,hubmap14,organs,page-has-heading-one,0,1,1,0
hubmap,hubmap14,organs,role-img-alt,0,31,31,0
hubmap,hubmap14,organs,tabindex,0,4,4,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap15,organ,heading-order,1,8,9,0.1111111111111111
hubmap,hubmap15,organ,html-has-lang,1,0,1,1
hubmap,hubmap15,organ,landmark-one-main,1,0,1,1
hubmap,hubmap15,organ,link-name,1,24,25,0.04
hubmap,hubmap15,organ,region,24,223,247,0.09716599190283401
hubmap,hubmap15,organ,aria-allowed-attr,0,11,11,0
hubmap,hubmap15,organ,aria-allowed-role,0,4,4,0
hubmap,hubmap15,organ,aria-conditional-attr,0,11,11,0
hubmap,hubmap15,organ,aria-deprecated-role,0,3,3,0
hubmap,hubmap15,organ,aria-hidden-body,0,1,1,0
hubmap,hubmap15,organ,aria-hidden-focus,0,25,25,0
hubmap,hubmap15,organ,aria-prohibited-attr,0,11,11,0
hubmap,hubmap15,organ,aria-required-attr,0,3,3,0
hubmap,hubmap15,organ,aria-required-children,0,1,1,0
hubmap,hubmap15,organ,aria-required-parent,0,1,1,0
hubmap,hubmap15,organ,aria-roles,0,3,3,0
hubmap,hubmap15,organ,aria-valid-attr-value,0,11,11,0
hubmap,hubmap15,organ,aria-valid-attr,0,11,11,0
hubmap,hubmap15,organ,avoid-inline-spacing,0,19,19,0
hubmap,hubmap15,organ,button-name,0,12,12,0
hubmap,hubmap15,organ,bypass,0,1,1,0
hubmap,hubmap15,organ,color-contrast,0,47,47,0
hubmap,hubmap15,organ,document-title,0,1,1,0
hubmap,hubmap15,organ,duplicate-id-aria,0,2,2,0
hubmap,hubmap15,organ,empty-heading,0,9,9,0
hubmap,hubmap15,organ,empty-table-header,0,9,9,0
hubmap,hubmap15,organ,form-field-multiple-labels,0,3,3,0
hubmap,hubmap15,organ,label-title-only,0,3,3,0
hubmap,hubmap15,organ,label,0,3,3,0
hubmap,hubmap15,organ,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap15,organ,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap15,organ,landmark-unique,0,2,2,0
hubmap,hubmap15,organ,list,0,1,1,0
hubmap,hubmap15,organ,listitem,0,3,3,0
hubmap,hubmap15,organ,meta-viewport-large,0,1,1,0
hubmap,hubmap15,organ,meta-viewport,0,1,1,0
hubmap,hubmap15,organ,nested-interactive,0,15,15,0
hubmap,hubmap15,organ,page-has-heading-one,0,1,1,0
hubmap,hubmap15,organ,scope-attr-valid,0,9,9,0
hubmap,hubmap15,organ,tabindex,0,14,14,0
hubmap,hubmap15,organ,table-duplicate-name,0,2,2,0
hubmap,hubmap15,organ,td-headers-attr,0,2,2,0
hubmap,hubmap15,organ,th-has-data-cells,0,2,2,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap16,biomarkers,empty-heading,1,8,9,0.1111111111111111
hubmap,hubmap16,biomarkers,heading-order,1,8,9,0.1111111111111111
hubmap,hubmap16,biomarkers,html-has-lang,1,0,1,1
hubmap,hubmap16,biomarkers,landmark-one-main,1,0,1,1
hubmap,hubmap16,biomarkers,region,30,150,180,0.16666666666666666
hubmap,hubmap16,biomarkers,aria-allowed-attr,0,37,37,0
hubmap,hubmap16,biomarkers,aria-conditional-attr,0,37,37,0
hubmap,hubmap16,biomarkers,aria-hidden-body,0,1,1,0
hubmap,hubmap16,biomarkers,aria-hidden-focus,0,11,11,0
hubmap,hubmap16,biomarkers,aria-prohibited-attr,0,6,6,0
hubmap,hubmap16,biomarkers,aria-valid-attr-value,0,37,37,0
hubmap,hubmap16,biomarkers,aria-valid-attr,0,37,37,0
hubmap,hubmap16,biomarkers,avoid-inline-spacing,0,1,1,0
hubmap,hubmap16,biomarkers,button-name,0,7,7,0
hubmap,hubmap16,biomarkers,bypass,0,1,1,0
hubmap,hubmap16,biomarkers,color-contrast,0,38,38,0
hubmap,hubmap16,biomarkers,document-title,0,1,1,0
hubmap,hubmap16,biomarkers,form-field-multiple-labels,0,1,1,0
hubmap,hubmap16,biomarkers,label-title-only,0,1,1,0
hubmap,hubmap16,biomarkers,label,0,1,1,0
hubmap,hubmap16,biomarkers,landmark-banner-is-top-level,0,1,1,0
hubmap,hubmap16,biomarkers,landmark-no-duplicate-banner,0,1,1,0
hubmap,hubmap16,biomarkers,landmark-unique,0,1,1,0
hubmap,hubmap16,biomarkers,link-in-text-block,0,1,1,0
hubmap,hubmap16,biomarkers,link-name,0,26,26,0
hubmap,hubmap16,biomarkers,meta-viewport-large,0,1,1,0
hubmap,hubmap16,biomarkers,meta-viewport,0,1,1,0
hubmap,hubmap16,biomarkers,nested-interactive,0,7,7,0
hubmap,hubmap16,biomarkers,page-has-heading-one,0,1,1,0
hubmap,hubmap16,biomarkers,scrollable-region-focusable,0,1,1,0
hubmap,hubmap16,biomarkers,tabindex,0,8,8,0
category,page_id,page_type,issue,violations,passes,total_checks,failure_rate
hubmap,hubmap17,collections,heading-order,1,5,6,0.16666666666666666
hubmap,hubmap17,collections,html-has-lang,1,0,1,1
hubmap,hubmap17,collections,landmark-one-main,1,0,1,1
