website_id,page_id,page_type,url
hubmap,0,home,https://portal.hubmapconsortium.org/
hubmap,1,cells,https://portal.hubmapconsortium.org/cells
hubmap,2,datasets,https://portal.hubmapconsortium.org/search?entity_type[0]=Dataset
hubmap,3,donors,https://portal.hubmapconsortium.org/search?entity_type[0]=Donor
hubmap,4,samples,https://portal.hubmapconsortium.org/search?entity_type[0]=Sample
hubmap,5,sample,https://portal.hubmapconsortium.org/browse/sample/509d2f22c9e9c33e2bf5b5ebca679570
hubmap,6,sample,https://portal.hubmapconsortium.org/browse/sample/4573aca82b700a93fcd73f135ac18f7f
hubmap,7,sample,https://portal.hubmapconsortium.org/browse/sample/b4f9ce73afcb358595bc80275a197d53
hubmap,8,dataset,https://portal.hubmapconsortium.org/browse/dataset/57b475b8ad39fa2cf07ede0cf192b2f6
hubmap,9,dataset,https://portal.hubmapconsortium.org/browse/dataset/5fc97f5cb77f786b629692f9f9281075
hubmap,10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f
hubmap,11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0
hubmap,12,donor,https://portal.hubmapconsortium.org/browse/donor/cc561d0d3840fe8482938208fe032a54
hubmap,13,donor,https://portal.hubmapconsortium.org/browse/donor/4b257b9c1758a98af262c57bc0caa726
hubmap,14,organs,https://portal.hubmapconsortium.org/organ
hubmap,15,organ,https://portal.hubmapconsortium.org/organ/blood
hubmap,16,biomarkers,https://portal.hubmapconsortium.org/biomarkers
hubmap,17,collections,https://portal.hubmapconsortium.org/collections
hubmap,18,collection,https://portal.hubmapconsortium.org/browse/collection/3ae4ddfc175d768af5526a010bfe95aa
hubmap,19,publications,https://portal.hubmapconsortium.org/publications
hubmap,20,publication,https://portal.hubmapconsortium.org/browse/publication/72cbeb8ff605fd5017cb2666cd19dfb7
hubmap,21,contact,https://hubmapconsortium.org/contact-form/
hubmap,22,globus,https://app.globus.org/file-manager?origin_id=af603d86-eab9-4eec-bb1d-9d26556741bb&origin_path=%2F0dc53cf7e5500c177c12de7c1e662f37%2F&two_pane=false