issue_name,issue_filter,issue_id,issue_impact,issue_overall_impact,issue_note_overall_impact_hdv,issue_severity,issue_data_related,issue_data_related_rule,issue_pour_category,issue_wcag_level,issue_difficulty_to_fix,issue_missing_label_related,issue_desc,issue_help,issue_url
Form Has No Label,,label,critical,critical,,severe,O,related to data filter/search,,A,Difficult,O,Ensures every form element has a label,Form elements must have labels,https://dequeuniversity.com/rules/axe/4.9/label?application=playwright
Select Has No Label,,select-name,critical,critical,,severe,O,related to data filter/search,,A,Difficult,O,Ensures select element has an accessible name,Select element must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/select-name?application=playwright
Area Has No Label,,area-alt,critical,critical,,severe,X,-,,A,Difficult,O,Ensures <area> elements of image maps have alternate text,Active <area> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright
Low Color Contrast,,color-contrast,serious,moderate,,severe,O,related to data representations,,AA,Moderate,X,Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.9/color-contrast?application=playwright
Link Has No Label,,link-name,serious,critical,,severe,O,related to data download,,A,Difficult,O,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/4.9/link-name?application=playwright
Accesskey Not Unique,,accesskeys,serious,minor,people can still access this,not severe,O,related to data download,,N/A,Moderate,X,Ensures every accesskey attribute value is unique,accesskey attribute value should be unique,https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright
Frame Has No Label,,frame-title,serious,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures <iframe> and <frame> elements have an accessible name,Frames must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/frame-title?application=playwright
Aria Input Has No Label,,aria-input-field-name,serious,critical,,severe,O,related to data filter/search,,A,Difficult,O,Ensures every ARIA input field has an accessible name,ARIA input fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright
Marquee Is Used,,marquee,serious,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures <marquee> elements are not used,<marquee> elements are deprecated and must not be used,https://dequeuniversity.com/rules/axe/4.9/marquee?application=playwright
Dialog Has No Label,,aria-dialog-name,serious,critical,,severe,O,can be related to data perceive,,N/A,Difficult,O,Ensures every ARIA dialog and alertdialog node has an accessible name,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright
Object Has No Label,,object-alt,serious,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures <object> elements have alternate text,<object> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/object-alt?application=playwright
Progress Bar Has No Label,,aria-progressbar-name,serious,minor,likely does not affect to data access,not severe,X,likely not directly related to data itself,,A,Difficult,O,Ensures every ARIA progressbar node has an accessible name,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright
Blink Is Used,,blink,serious,moderate,,severe,O,related to data perceive,,A,Easy,X,Ensures <blink> elements are not used,<blink> elements are deprecated and must not be used,https://dequeuniversity.com/rules/axe/4.9/blink?application=playwright
Landmark Has Bad Structure (multiple main),,landmark-one-main,moderate,moderate,,severe,O,related to any data aspects,,N/A,Difficult,X,Ensures the document has a main landmark,Document should have one main landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-one-main?application=playwright
Landmark Has Bad Structure (duplicated),,landmark-unique,moderate,moderate,,severe,O,related to any data aspects,,N/A,Difficult,X,Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.9/landmark-unique?application=playwright
Landmark Has Bas Structure (not contained with landmark),,region,moderate,moderate,,severe,O,related to any data aspects,,N/A,Difficult,X,Ensures all page content is contained by landmarks,All page content should be contained by landmarks,https://dequeuniversity.com/rules/axe/4.9/region?application=playwright
Landmark Has Bas Structure (nested),,landmark-complementary-is-top-level,moderate,moderate,,severe,O,related to any data aspects,,N/A,Difficult,X,Ensures the complementary landmark or aside is at top level,Aside should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-complementary-is-top-level?application=playwright
Skip Link Not Focusable,,skip-link,moderate,minor,,severe,X,-,,N/A,Difficult,X,Ensure all skip links have a focusable target,The skip-link target should exist and be focusable,https://dequeuniversity.com/rules/axe/4.9/skip-link?application=playwright
Table Header No Label,,empty-table-header,minor,critical,related WCAG: https://www.w3.org/WAI/WCAG22/Understanding/info-and-relationships,severe,O,directly related to any data aspects,,A,Difficult,O,Ensures table headers have discernible text,Table header text should not be empty,https://dequeuniversity.com/rules/axe/4.9/empty-table-header?application=playwright
ARIA With Error (unsupported attributes),,aria-allowed-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures an element's role supports its ARIA attributes,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright
ARIA With Error (disallowed roles),,aria-allowed-role,null,minor,,severe,O,related to any data aspects,,N/A,Moderate,X,Ensures role attribute has an appropriate value for the element,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright
ARIA With Error (wrong attribute usage),,aria-conditional-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures ARIA attributes are used as described in the specification of the element's role,ARIA attributes must be used as specified for the element's role,https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright
ARIA With Error (deprecated roles),,aria-deprecated-role,null,minor,,severe,O,related to any data aspects,,A,Easy,X,Ensures elements do not use deprecated roles,Deprecated ARIA roles must not be used,https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright
Body Uses Aria Hidden,,aria-hidden-body,null,moderate,,severe,O,related to any data aspects,,A,Easy,X,"Ensures aria-hidden=true"" is not present on the document body.""","aria-hidden=true"" must not be present on the document body""",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright
ARIA With Error (disallowed attributes),,aria-prohibited-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright
ARIA With Error (required attributes missing),,aria-required-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures elements with ARIA roles have all required ARIA attributes,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright
ARIA With Error (role with invalid value),,aria-roles,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures all elements with a role attribute use a valid value,ARIA roles used must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright
ARIA With Error (aria with invalid value),,aria-valid-attr-value,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures all ARIA attributes have valid values,ARIA attributes must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr-value?application=playwright
ARIA With Error (invalid attributes),,aria-valid-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures attributes that begin with aria- are valid ARIA attributes,ARIA attributes must conform to valid names,https://dequeuniversity.com/rules/axe/4.9/aria-valid-attr?application=playwright
Small Line Spacing,,avoid-inline-spacing,null,minor,,not severe,O,related to any data aspects,,AA,Moderate,X,Ensure that text spacing set through style attributes can be adjusted with custom stylesheets,Inline text spacing must be adjustable with custom stylesheets,https://dequeuniversity.com/rules/axe/4.9/avoid-inline-spacing?application=playwright
Bypass Not Supported,,bypass,null,moderate,,not severe,O,related to any data aspects,,A,Difficult,X,Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content,Page must have means to bypass repeated blocks,https://dequeuniversity.com/rules/axe/4.9/bypass?application=playwright
Document Has No Label,,document-title,null,critical,,severe,O,related to understanding page context,,A,Difficult,O,Ensures each HTML document contains a non-empty <title> element,Documents must have <title> element to aid in navigation,https://dequeuniversity.com/rules/axe/4.9/document-title?application=playwright
Aria Has Duplicated ID,,duplicate-id-aria,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures every id attribute value used in ARIA and in labels is unique,IDs used in ARIA and labels must be unique,https://dequeuniversity.com/rules/axe/4.9/duplicate-id-aria?application=playwright
Heading Is Empty,,empty-heading,null,minor,,not severe,X,likely not directly related to data itself,,N/A,Difficult,O,Ensures headings have discernible text,Headings should not be empty,https://dequeuniversity.com/rules/axe/4.9/empty-heading?application=playwright
Heading Has Bad Structure (order),,heading-order,null,moderate,,not severe,X,likely not directly related to data itself,,A,Difficult,X,Ensures the order of headings is semantically correct,Heading levels should only increase by one,https://dequeuniversity.com/rules/axe/4.9/heading-order?application=playwright
Lang Is Missing,,html-has-lang,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures every HTML document has a lang attribute,<html> element must have a lang attribute,https://dequeuniversity.com/rules/axe/4.9/html-has-lang?application=playwright
Lang With Error (invalid),,html-lang-valid,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures the lang attribute of the <html> element has a valid value,<html> element must have a valid value for the lang attribute,https://dequeuniversity.com/rules/axe/4.9/html-lang-valid?application=playwright
Image Has No Label,,image-alt,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures <img> elements have alternate text or a role of none or presentation,Images must have alternate text,https://dequeuniversity.com/rules/axe/4.9/image-alt?application=playwright
Image Has Duplicated Label,,image-redundant-alt,null,minor,,not severe,X,-,,N/A,Easy,X,Ensure image alternative is not repeated as text,Alternative text of images should not be repeated as text,https://dequeuniversity.com/rules/axe/4.9/image-redundant-alt?application=playwright
Landmark Has Bad Structure (banner not at root),,landmark-banner-is-top-level,null,moderate,,not severe,X,likely not directly related to data itself,,N/A,Difficult,X,Ensures the banner landmark is at top level,Banner landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-banner-is-top-level?application=playwright
Landmark Has Bad Structure (contentinfo not at root),,landmark-contentinfo-is-top-level,null,minor,,not severe,X,"it is a footer, so likely not directly related to data itself",,N/A,Moderate,X,Ensures the contentinfo landmark is at top level,Contentinfo landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-contentinfo-is-top-level?application=playwright
Landmark Has Bad Structure (duplicated banner),,landmark-no-duplicate-banner,null,minor,,not severe,X,-,,N/A,Moderate,X,Ensures the document has at most one banner landmark,Document should not have more than one banner landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-banner?application=playwright
Landmark Has Bad Structure (duplicated contentinfo),,landmark-no-duplicate-contentinfo,null,minor,,not severe,X,-,,N/A,Moderate,X,Ensures the document has at most one contentinfo landmark,Document should not have more than one contentinfo landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-contentinfo?application=playwright
Link Not Clearly Visible,,link-in-text-block,null,moderate,,severe,O,related to data representations,,A,Moderate,X,Ensure links are distinguished from surrounding text in a way that does not rely on color,Links must be distinguishable without relying on color,https://dequeuniversity.com/rules/axe/4.9/link-in-text-block?application=playwright
List Has Bad Structure (li structure),,list,null,critical,,severe,O,related to data representations,,A,Difficult,X,Ensures that lists are structured correctly,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.9/list?application=playwright
List Has Bad Structure (li missing),,listitem,null,critical,,severe,O,related to data representations,,A,Difficult,X,Ensures <li> elements are used semantically,<li> elements must be contained in a <ul> or <ol>,https://dequeuniversity.com/rules/axe/4.9/listitem?application=playwright
Zoom Limited,,meta-viewport-large,null,minor,,severe,O,related to data representations,,N/A,Easy,X,"Ensures <meta name=viewport""> can scale a significant amount""",Users should be able to zoom and scale the text up to 500%,https://dequeuniversity.com/rules/axe/4.9/meta-viewport-large?application=playwright
Zoom Disabled,,meta-viewport,null,minor,,severe,O,related to data representations,,N/A,Easy,X,"Ensures <meta name=viewport""> does not disable text scaling and zooming""",Zooming and scaling must not be disabled,https://dequeuniversity.com/rules/axe/4.9/meta-viewport?application=playwright
Nested Interaction Elements,,nested-interactive,null,moderate,,severe,O,related to data filter/search,,A,Difficult,X,Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,Interactive controls must not be nested,https://dequeuniversity.com/rules/axe/4.9/nested-interactive?application=playwright
Heading 1 Missing,,page-has-heading-one,null,minor,,not severe,X,-,,A,Difficult,X,"Ensure that the page, or at least one of its frames contains a level-one heading",Page should contain a level-one heading,https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one?application=playwright
Presentation Should Be Ignored,,presentation-role-conflict,null,minor,,not severe,X,-,,N/A,Easy,X,Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them,Ensure elements marked as presentational are consistently ignored,https://dequeuniversity.com/rules/axe/4.9/presentation-role-conflict?application=playwright
Scrollable Region Not Focusable,,scrollable-region-focusable,null,moderate,,severe,O,related to data representations,,A,Moderate,X,Ensure elements that have scrollable content are accessible by keyboard,Scrollable region must have keyboard access,https://dequeuniversity.com/rules/axe/4.9/scrollable-region-focusable?application=playwright
Table Label Duplicated,,table-duplicate-name,null,minor,,not severe,X,-,,N/A,Easy,X,Ensure the <caption> element does not contain the same text as the summary attribute,tables should not have the same summary and caption,https://dequeuniversity.com/rules/axe/4.9/table-duplicate-name?application=playwright
Table Has Bad Structure (td),,td-headers-attr,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table,Table cells that use the headers attribute must only refer to cells in the same table,https://dequeuniversity.com/rules/axe/4.9/td-headers-attr?application=playwright
Table Has No Data Cell,,th-has-data-cells,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe,Table headers in a data table must refer to data cells,https://dequeuniversity.com/rules/axe/4.9/th-has-data-cells?application=playwright
Lang Wtih Error (invalid language),,valid-lang,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures lang attributes have valid values,lang attribute must have a valid value,https://dequeuniversity.com/rules/axe/4.9/valid-lang?application=playwright
Aria Hidden Has Focusable Element,,aria-hidden-focus,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures aria-hidden elements are not focusable nor contain focusable elements,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright
-,O,frame-tested,null,,,,,,,,,,Ensures <iframe> and <frame> elements contain the axe-core script,Frames should be tested with axe-core,https://dequeuniversity.com/rules/axe/4.9/frame-tested?application=playwright
Form Has Multiple Labels,,form-field-multiple-labels,null,minor,,not severe,O,related to data filter/search,,A,Moderate,X,Ensures form field does not have multiple label elements,Form field must not have multiple label elements,https://dequeuniversity.com/rules/axe/4.9/form-field-multiple-labels?application=playwright
Form Button Has No Label,,input-button-name,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,Ensures input buttons have discernible text,Input buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/input-button-name?application=playwright
Input Has No Label,,label-title-only,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",Form elements should have a visible label,https://dequeuniversity.com/rules/axe/4.9/label-title-only?application=playwright
Autocomplete Not Valid,,autocomplete-valid,null,moderate,,severe,O,related to data filter/search,,AA,Difficult,X,Ensure the autocomplete attribute is correct and suitable for the form field,autocomplete attribute must be used correctly,https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid?application=playwright
Button Has No Label,,button-name,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,Ensures buttons have discernible text,Buttons must have discernible text,https://dequeuniversity.com/rules/axe/4.9/button-name?application=playwright
Tabindex Not Valid,,tabindex,null,moderate,,severe,O,related to any data aspects,,N/A,Moderate,X,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/4.9/tabindex?application=playwright
Description List Has Bad Structure (dl structure),,definition-list,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures <dl> elements are structured correctly,"<dl> elements must only directly contain properly-ordered <dt> and <dd> groups, <script>, <template> or <div> elements",https://dequeuniversity.com/rules/axe/4.9/definition-list?application=playwright
Description List Has Bad Structure (dl missing),,dlitem,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures <dt> and <dd> elements are contained by a <dl>,<dt> and <dd> elements must be contained by a <dl>,https://dequeuniversity.com/rules/axe/4.9/dlitem?application=playwright
Landmark Has Bad Structure (main not at root),,landmark-main-is-top-level,null,moderate,,not severe,O,related to any data aspects,,N/A,Difficult,X,Ensures the main landmark is at top level,Main landmark should not be contained in another landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-main-is-top-level?application=playwright
Landmark Has Bad Structure (duplicates),,landmark-no-duplicate-main,null,moderate,,not severe,O,related to any data aspects,,N/A,Difficult,X,Ensures the document has at most one main landmark,Document should not have more than one main landmark,https://dequeuniversity.com/rules/axe/4.9/landmark-no-duplicate-main?application=playwright
ARIA Role Bad Structre (no required children exist),,aria-required-children,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures elements with an ARIA role that require child roles contain them,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright
ARIA Role Bad Structre (no required parent exist),,aria-required-parent,null,critical,,severe,O,related to any data aspects,,A,Difficult,X,Ensures elements with an ARIA role that require parent roles are contained by them,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright
Lang with Error (conflicting language),,html-xml-lang-mismatch,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page,HTML elements with lang and xml:lang must have the same base language,https://dequeuniversity.com/rules/axe/4.9/html-xml-lang-mismatch?application=playwright
ARIA Role Has No Label,,aria-command-name,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures every ARIA button, link and menuitem has an accessible name",ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright
Aria Image Has No Label,,role-img-alt,null,critical,,severe,O,related to data representations,,A,Difficult,O,"Ensures [role=img""] elements have alternate text""","[role=img""] elements must have an alternative text""",https://dequeuniversity.com/rules/axe/4.9/role-img-alt?application=playwright
Frame With Error (duplicated title),,frame-title-unique,null,moderate,,not severe,O,related to any data aspects,,A,Moderate,X,Ensures <iframe> and <frame> elements contain a unique title attribute,Frames must have a unique title attribute,https://dequeuniversity.com/rules/axe/4.9/frame-title-unique?application=playwright
Image Button Has No Label,,input-image-alt,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures <input type=image""> elements have alternate text""",Image buttons must have alternate text,https://dequeuniversity.com/rules/axe/4.9/input-image-alt?application=playwright
SVG Image Has No Label,,svg-img-alt,null,critical,,severe,O,related to data filter/search,,A,Difficult,O,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",<svg> elements with an img role must have an alternative text,https://dequeuniversity.com/rules/axe/4.9/svg-img-alt?application=playwright
Table Has Bad Structure (scope),,scope-attr-valid,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures the scope attribute is used correctly on tables,scope attribute should be used correctly,https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid?application=playwright
Tooltip Has No Label,,aria-tooltip-name,null,critical,,severe,O,related to data representations,,A,Difficult,O,Ensures every ARIA tooltip node has an accessible name,ARIA tooltip nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-tooltip-name?application=playwright
Treeitem Has No Label,,aria-treeitem-name,null,critical,,severe,O,related to data representations,,A,Difficult,O,Ensures every ARIA treeitem node has an accessible name,ARIA treeitem nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-treeitem-name?application=playwright
Should Not Refresh Through Meta,,meta-refresh,null,moderate,,not severe,O,related to any data aspects,,A,Difficult,X,"Ensures <meta http-equiv=refresh""> is not used for delayed refresh""",Delayed refresh under 20 hours must not be used,https://dequeuniversity.com/rules/axe/4.9/meta-refresh?application=playwright
Toggle Has No Label,,aria-toggle-field-name,null,critical,,severe,O,related to any data aspects,,A,Difficult,O,Ensures every ARIA toggle field has an accessible name,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright
Frame Not Focusable,,frame-focusable-content,null,moderate,,severe,O,related to any data aspects,,A,Moderate,X,Ensures <frame> and <iframe> elements with focusable content do not have tabindex=-1,Frames with focusable content must not have tabindex=-1,https://dequeuniversity.com/rules/axe/4.9/frame-focusable-content?application=playwright
Media Autoplay,,no-autoplay-audio,null,minor,,not severe,X,-,,A,Easy,X,Ensures <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio,<video> or <audio> elements must not play automatically,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio?application=playwright